subset,scenario,discount,n_rows,mean_profit
ALL_ROWS,Elast x 0.5,0.0,103,588.1547576309781
ALL_ROWS,Elast x 0.5,0.3,38,-91.3850418363601
ALL_ROWS,Elast x 0.5,0.4,29,-835.9609113131902
ALL_ROWS,Elast x 0.5,0.2,20,-46.207144104476654
ALL_ROWS,Elast x 0.5,0.1,10,1049.1382363830921
ALL_ROWS,Elast x 0.5,-1.0,200,212.15840749933963
ALL_ROWS,Baseline,0.0,103,587.0636556630498
ALL_ROWS,Baseline,0.3,38,-91.3850418363601
ALL_ROWS,Baseline,0.4,29,-835.9609113131902
ALL_ROWS,Baseline,0.2,20,-46.207144104476654
ALL_ROWS,Baseline,0.1,10,1049.1382363830921
ALL_ROWS,Baseline,-1.0,200,211.59648998585652
ALL_ROWS,Elast x 1.5,0.0,103,585.9407523476895
ALL_ROWS,Elast x 1.5,0.3,38,-91.3850418363601
ALL_ROWS,Elast x 1.5,0.4,29,-835.9609113131902
ALL_ROWS,Elast x 1.5,0.2,20,-46.207144104476654
ALL_ROWS,Elast x 1.5,0.1,10,1049.1382363830921
ALL_ROWS,Elast x 1.5,-1.0,200,211.01819477844597
NON_NEAR_EXPIRY_ONLY,Elast x 0.5,0.0,200,523.0637000341256
NON_NEAR_EXPIRY_ONLY,Elast x 0.5,-1.0,200,523.0637000341256
NON_NEAR_EXPIRY_ONLY,Baseline,0.0,200,522.1230649480589
NON_NEAR_EXPIRY_ONLY,Baseline,-1.0,200,522.1230649480589
NON_NEAR_EXPIRY_ONLY,Elast x 1.5,0.0,200,521.1982503761038
NON_NEAR_EXPIRY_ONLY,Elast x 1.5,-1.0,200,521.1982503761038
