date,category,forecast
2024-11-02,Bakery,243.8374006929914
2024-11-02,Beverages,250.83695815355
2024-11-02,Dairy,249.95486767416276
2024-11-02,Deli,201.70557274298397
2024-11-02,Meat,218.87283415608712
2024-11-02,Produce,238.44403108634023
2024-11-02,Ready_to_Eat,320.6583228065981
2024-11-02,Seafood,220.92356437546277
2024-11-03,Bakery,195.09730119675504
2024-11-03,Beverages,256.96470749421
2024-11-03,Dairy,200.26918625401078
2024-11-03,Deli,238.35943171009177
2024-11-03,Meat,238.11636617493033
2024-11-03,Produce,386.3211708908765
2024-11-03,Ready_to_Eat,165.71995600994572
2024-11-03,Seafood,207.2573079540451
2024-11-04,Bakery,175.94289565986992
2024-11-04,Beverages,197.19863639146402
2024-11-04,Dairy,240.38017455786837
2024-11-04,Deli,314.8448304638555
2024-11-04,Meat,171.83312220959266
2024-11-04,Produce,194.35802628303114
2024-11-04,Ready_to_Eat,174.7661243899489
2024-11-04,Seafood,245.5841312649037
2024-11-05,Bakery,188.48935538617985
2024-11-05,Beverages,246.4907643360885
2024-11-05,Dairy,238.23078272704012
2024-11-05,Deli,212.1059295717734
2024-11-05,Meat,205.99330790889033
2024-11-05,Produce,249.82435551989207
2024-11-05,Ready_to_Eat,158.15517391924584
2024-11-05,Seafood,202.5237778033353
2024-11-06,Bakery,238.06349683245674
2024-11-06,Beverages,116.51517600451065
2024-11-06,Dairy,207.18761494103018
2024-11-06,Deli,238.30529333904437
2024-11-06,Meat,199.8372560910867
2024-11-06,Produce,198.09509937299742
2024-11-06,Ready_to_Eat,206.57671824035498
2024-11-06,Seafood,201.4127712774808
2024-11-07,Bakery,234.2220067547735
2024-11-07,Beverages,277.7044445409131
2024-11-07,Dairy,216.8002617684092
2024-11-07,Deli,194.710809190543
2024-11-07,Meat,214.9144478306782
2024-11-07,Produce,231.34369516357148
2024-11-07,Ready_to_Eat,226.6207444942135
2024-11-07,Seafood,183.57265027586536
2024-11-08,Bakery,355.2924628310412
2024-11-08,Beverages,167.81404443472508
2024-11-08,Dairy,232.9065950609115
2024-11-08,Deli,251.11361147732015
2024-11-08,Meat,228.2996126324959
2024-11-08,Produce,212.84056227771225
2024-11-08,Ready_to_Eat,202.8579718620177
2024-11-08,Seafood,234.0191679554818
2024-11-09,Bakery,452.06884500937343
2024-11-09,Beverages,246.34072027861814
2024-11-09,Dairy,215.79748340873493
2024-11-09,Deli,285.91655211961836
2024-11-09,Meat,225.60782730100706
2024-11-09,Produce,219.0460360865717
2024-11-09,Ready_to_Eat,232.78398795619867
2024-11-09,Seafood,217.3738415381155
2024-11-10,Bakery,230.58661807579065
2024-11-10,Beverages,244.70222669728938
2024-11-10,Dairy,205.9064619287593
2024-11-10,Deli,240.53188457470856
2024-11-10,Meat,221.64257211752954
2024-11-10,Produce,491.17677231275803
2024-11-10,Ready_to_Eat,260.46549821033847
2024-11-10,Seafood,254.99438391358865
2024-11-11,Bakery,263.61199205608864
2024-11-11,Beverages,225.49494390279713
2024-11-11,Dairy,185.48356146924377
2024-11-11,Deli,207.3855534059934
2024-11-11,Meat,283.94153997627683
2024-11-11,Produce,236.1187426404437
2024-11-11,Ready_to_Eat,217.7405304129851
2024-11-11,Seafood,231.94003630676156
2024-11-12,Bakery,217.7934196490344
2024-11-12,Beverages,219.11960492403998
2024-11-12,Dairy,252.4224887037218
2024-11-12,Deli,321.81415226983773
2024-11-12,Meat,192.5720671766395
2024-11-12,Produce,235.89966082666945
2024-11-12,Ready_to_Eat,214.3010981421968
2024-11-12,Seafood,218.57487743592205
2024-11-13,Bakery,284.4273839774189
2024-11-13,Beverages,202.58207254293774
2024-11-13,Dairy,389.39581130326036
2024-11-13,Deli,126.94331218292159
2024-11-13,Meat,211.7014653198994
2024-11-13,Produce,236.25437617925672
2024-11-13,Ready_to_Eat,113.52904947872089
2024-11-13,Seafood,244.31671172843687
2024-11-14,Bakery,226.9584911228354
2024-11-14,Beverages,248.9667742549243
2024-11-14,Dairy,207.4818824322146
2024-11-14,Deli,196.2660930999866
2024-11-14,Meat,385.78967816005485
2024-11-14,Produce,183.76431907728136
2024-11-14,Ready_to_Eat,232.08163676139054
2024-11-14,Seafood,246.47992633219482
2024-11-15,Bakery,176.75037619963888
2024-11-15,Beverages,198.50154187884434
2024-11-15,Dairy,300.98551752120846
2024-11-15,Deli,229.32601182608485
2024-11-15,Meat,167.0044316746523
2024-11-15,Produce,205.58642263573017
2024-11-15,Ready_to_Eat,306.5821280258904
2024-11-15,Seafood,204.71525442888026
2024-11-16,Bakery,321.255861837403
2024-11-16,Beverages,217.95088845484358
2024-11-16,Dairy,338.0221991568281
