days_until_expiry,selling_price,discount_pct,initial_quantity,is_promoted,spoilage_sensitivity,shelf_life_days,daily_demand,demand_variability,distribution_hours,storage_temp,temp_deviation,quality_grade,transaction_date,category,product_id,base_price,cost_price,units_sold
3,12.42,0.0,229,1,0.5,6,76,0.42,33.8,21.8,1.8,A,2024-12-01,Bakery,BAK_CAK_408,12.42,7.75,194
3,24.62,0.0,343,0,0.95,4,165,0.45,9.0,-2.5,2.5,B,2024-12-08,Seafood,SEA_TUN_185,24.62,14.77,240
13,4.13,0.23,54,0,0.7,23,2,0.18,12.7,4.8,0.8,C,2024-12-08,Dairy,DAI_MIL_667,5.37,2.25,38
29,8.34,0.0,38,0,0.7,29,4,0.11,10.3,2.3,1.7,B,2024-12-20,Dairy,DAI_MIL_476,8.34,4.57,26
4,7.82,0.0,236,0,0.6,4,62,0.17,12.9,9.0,1.0,A,2024-12-02,Produce,PRO_LET_434,7.82,4.0,176
5,13.78,0.0,313,1,0.75,7,64,0.42,15.6,4.3,0.3,B,2024-11-08,Deli,DEL_TUR_331,13.78,7.24,248
8,2.9,0.21,426,0,0.7,12,43,0.27,19.4,4.7,0.7,C,2024-12-30,Dairy,DAI_BUT_906,3.67,2.15,372
7,2.92,0.0,89,0,0.7,8,16,0.34,9.6,6.8,2.8,B,2024-12-09,Dairy,DAI_CRE_134,2.92,2.01,62
6,11.71,0.0,31,0,0.75,12,1,0.13,39.8,2.0,2.0,A,2024-11-15,Deli,DEL_HUM_438,11.71,7.72,5
11,6.71,0.0,77,0,0.75,12,9,0.45,25.4,7.5,3.5,B,2024-11-11,Deli,DEL_TUR_415,6.71,2.89,53
11,5.19,0.24,29,0,0.6,15,1,0.19,71.9,8.7,0.7,C,2024-11-10,Produce,PRO_BAN_172,6.83,3.09,20
5,7.82,0.0,399,0,0.75,8,101,0.43,68.4,2.5,1.5,B,2024-12-06,Deli,DEL_HAM_916,7.82,3.16,399
1,11.86,0.19,131,0,0.9,3,76,0.37,5.1,1.0,3.0,B,2024-11-10,Ready_to_Eat,REA_SOU_410,14.64,8.97,123
18,8.55,0.24,48,1,0.7,20,3,0.35,41.2,7.5,3.5,C,2024-12-18,Dairy,DAI_YOG_144,11.25,4.88,48
0,3.44,0.61,379,1,0.9,4,183,0.44,32.8,0.7,0.3,A,2024-12-07,Meat,MEA_POR_517,8.83,4.42,379
22,4.08,0.23,263,1,0.4,24,10,0.33,34.4,6.1,1.1,C,2024-11-20,Beverages,BEV_KOM_806,5.3,2.38,263
1,6.35,0.27,90,0,0.5,3,67,0.14,15.7,23.2,3.2,A,2024-12-08,Bakery,BAK_CRO_434,8.7,3.96,90
26,6.07,0.0,259,1,0.4,28,12,0.24,37.0,2.8,2.2,B,2024-11-29,Beverages,BEV_SMO_729,6.07,2.62,181
3,9.53,0.0,482,0,0.9,5,145,0.25,41.0,6.1,2.1,B,2024-12-03,Ready_to_Eat,REA_FRE_919,9.53,4.19,371
7,12.87,0.0,357,0,0.9,9,69,0.31,47.3,0.1,0.9,A,2024-12-23,Meat,MEA_GRO_158,12.87,5.37,357
8,4.62,0.0,379,0,0.4,13,44,0.26,67.3,6.8,1.8,A,2024-12-15,Beverages,BEV_SMO_482,4.62,2.04,303
4,9.51,0.0,229,0,0.5,5,116,0.18,15.7,21.3,1.3,B,2024-11-30,Bakery,BAK_MUF_546,9.51,5.55,160
0,6.64,0.49,391,1,0.9,1,615,0.41,53.2,6.1,2.1,A,2024-12-19,Ready_to_Eat,REA_SAL_428,13.02,7.55,391
4,14.14,0.0,65,0,0.5,7,14,0.28,62.1,17.2,2.8,B,2024-12-24,Bakery,BAK_MUF_671,14.14,6.26,58
15,2.48,0.18,384,0,0.4,23,30,0.35,36.1,4.9,0.1,C,2024-11-10,Beverages,BEV_FRE_138,3.02,1.88,268
2,26.27,0.0,321,0,0.95,4,134,0.1,62.1,1.7,1.7,A,2024-12-13,Seafood,SEA_LOB_833,26.27,10.95,188
0,14.67,0.59,136,0,0.95,3,61,0.39,64.3,2.7,2.7,A,2024-11-25,Seafood,SEA_CRA_417,35.78,19.37,136
11,2.32,0.0,252,0,0.7,12,35,0.2,54.7,-1.4,5.4,A,2024-11-13,Dairy,DAI_COT_234,2.32,1.5,252
1,7.8,0.44,487,0,0.5,6,179,0.47,28.5,19.1,0.9,B,2024-11-25,Bakery,BAK_BRE_150,13.93,8.43,296
24,3.98,0.0,259,1,0.7,25,17,0.28,49.4,4.8,0.8,B,2024-11-13,Dairy,DAI_COT_241,3.98,2.43,259
7,11.45,0.0,47,0,0.9,10,4,0.21,44.3,1.3,0.3,B,2024-11-20,Meat,MEA_POR_495,11.45,5.31,32
6,14.66,0.18,71,0,0.9,10,7,0.34,9.8,0.9,0.1,C,2024-12-29,Meat,MEA_SAU_605,17.88,10.71,44
4,7.65,0.0,313,0,0.9,7,56,0.36,36.3,-3.4,4.4,B,2024-12-10,Meat,MEA_GRO_552,7.65,3.12,245
2,42.14,0.0,449,0,0.95,3,212,0.44,43.6,-3.6,3.6,B,2024-11-19,Seafood,SEA_CRA_401,42.14,21.57,314
3,13.09,0.0,132,0,0.5,6,45,0.47,58.6,21.1,1.1,B,2024-12-28,Bakery,BAK_MUF_348,13.09,7.9,92
1,3.25,0.33,465,0,0.7,5,133,0.21,71.7,5.7,1.7,B,2024-12-24,Dairy,DAI_BUT_852,4.85,2.76,217
20,6.54,0.0,217,1,0.4,30,8,0.22,38.9,3.4,1.6,B,2024-11-25,Beverages,BEV_COL_699,6.54,3.88,133
4,6.96,0.0,193,0,0.4,8,28,0.34,36.8,3.8,1.2,B,2024-11-25,Beverages,BEV_COL_741,6.96,4.69,98
10,5.46,0.0,422,0,0.75,12,63,0.38,40.0,3.3,0.7,B,2024-11-06,Deli,DEL_HAM_718,5.46,2.19,422
2,19.21,0.27,60,0,0.95,7,17,0.22,63.7,-0.9,0.9,A,2024-11-10,Seafood,SEA_SAL_599,26.32,15.71,42
17,1.39,0.0,112,0,0.6,19,5,0.12,71.3,7.6,0.4,B,2024-12-16,Produce,PRO_GRA_375,1.39,0.93,62
3,18.91,0.0,111,1,0.95,7,34,0.25,21.6,0.8,0.8,A,2024-11-09,Seafood,SEA_SHR_548,18.91,11.79,111
6,3.64,0.0,230,0,0.6,12,18,0.12,10.3,6.5,1.5,B,2024-12-04,Produce,PRO_BER_474,3.64,1.63,100
